path,x,y,size,rust
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,0,0,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,64,0,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,128,0,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,192,0,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,256,0,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1216,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1280,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1344,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1408,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1472,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1536,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1600,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1664,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1728,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1792,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1856,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2880,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2944,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3328,0,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,384,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,448,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1216,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1280,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1344,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1408,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1472,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1536,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1600,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1664,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1728,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1792,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1856,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1920,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1984,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2048,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2112,64,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2176,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2240,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2304,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2368,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2432,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2496,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2560,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2624,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2688,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2752,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2816,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2880,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2944,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3008,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3072,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3136,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3200,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3264,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3328,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3392,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3456,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3520,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3584,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3648,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3712,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3776,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3840,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3904,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3968,64,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,0,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,64,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,128,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,192,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,256,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,320,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,384,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,448,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,512,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,576,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,640,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,704,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,768,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,832,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,896,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,960,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1024,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1088,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1152,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1216,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1280,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1344,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1408,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1472,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1536,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1600,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1664,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1728,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1792,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1856,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1920,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,1984,128,64,1
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2880,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,2944,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3008,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3072,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3136,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3200,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3264,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3328,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3392,128,64,0
/home/jack/Mounts/RemoteS3/kona_coffee_images/leaves/03-12-2023/20231203_094741.jpg,3456,128,64,0
